Year,Gdp
1960-01-01,2723615451.30098
1961-01-01,2434747055.94018
1962-01-01,2001444543.91885
1963-01-01,2702982017.63803
1964-01-01,2909316435.28740
1965-01-01,3136284306.85469
1966-01-01,3039859187.45164
1967-01-01,3370870376.29682
1968-01-01,3852147026.77302
1969-01-01,4257253264.08834
1970-01-01,4863526896.57407
1971-01-01,5077183093.88968
1972-01-01,6766743956.88889
1973-01-01,8707858912.12481
1974-01-01,13209871625.90440
1975-01-01,15557902754.03300
1976-01-01,17728240932.31580
1977-01-01,20972113684.95580
1978-01-01,26364491313.44710
1979-01-01,33243706859.65960
1980-01-01,42345829079.20620
1981-01-01,44348590460.92880
1982-01-01,45207167470.34970
1983-01-01,48801369800.36750
1984-01-01,53698548293.07450
1985-01-01,57937868670.19370
1986-01-01,63692007897.38340
1987-01-01,66745818375.49300
1988-01-01,59089396860.43420
1989-01-01,55634721572.73430
1990-01-01,62048507531.33570
1991-01-01,45715676428.27660
1992-01-01,48003133346.99570
1993-01-01,49945584452.65060
1994-01-01,42543176828.92370
1995-01-01,41764291671.77110
1996-01-01,46941554225.35810
1997-01-01,48177612042.15070
1998-01-01,48187781984.48810
1999-01-01,48640671734.97110
2000-01-01,54790398570.32820
2001-01-01,59413400923.63640
2002-01-01,61516103406.16880
2003-01-01,73482264190.92450
2004-01-01,91913680985.17081
2005-01-01,107046618669.70700
2006-01-01,123084258693.00999
2007-01-01,142482739809.84900
2008-01-01,180383848331.13501
2009-01-01,150317292079.35901
2010-01-01,177785053939.53101
2011-01-01,218331946925.30399
2012-01-01,227143746075.93399
2013-01-01,229701430292.15701
2014-01-01,238942664192.59000
2015-01-01,187493855609.34500
2016-01-01,180763839522.15100
2017-01-01,189880896903.07300
2018-01-01,194554483655.52802
2019-01-01,193459662090.67700
2020-01-01,164873415325.20099
2021-01-01,186231205262.08200
2022-01-01,225581644702.56799
2023-01-01,247923887214.65500
2024-01-01,269322281664.77301
